,paper_id,author
194,29,"Li, Yanbang"
195,29,"Zhou, Peng"
196,29,"An, Yuan"
197,30,"Ryckebusch, F."
198,30,"Sauvion, N."
199,30,"Granier, M."
200,30,"Roumagnac, P."
201,30,"Peterschmitt, M."
202,31,"Peng, Qi"
203,31,"Wu, Miaomiao"
204,31,"Zhang, Zekun"
205,31,"Su, Rui"
206,31,"He, Honghua"
207,31,"Zhang, Xingchang"
208,32,"Kang, Wenjuan"
209,32,"Jiang, Zhehao"
210,32,"Chen, Yonggang"
211,32,"Wu, Fang"
212,32,"Liu, Chang"
213,32,"Wang, Haifang"
214,32,"Shi, Shangli"
215,32,"Zhang, Xue-Xian"
216,33,"Sathoff, Andrew E."
217,33,"Dornbusch, Melinda R."
218,33,"Miller, Susan S."
219,33,"Samac, Deborah K."
220,34,"Helaoui, Sondes"
221,34,"Mkhinini, Marouane"
222,34,"Boughattas, Iteb"
223,34,"Alphonse, Vanessa"
224,34,"Giusti-Miller, Stephanie"
225,34,"Livet, Alexandre"
226,34,"Banni, Mohamed"
227,34,"Bousserrhine, Noureddine"
228,35,"Zhu, Zhiyu"
229,35,"Zhang, Huanhuan"
230,35,"Leng, Jing"
231,35,"Niu, Huanqing"
232,35,"Chen, Xiaochun"
233,35,"Liu, Dong"
234,35,"Chen, Yong"
235,35,"Gao, Nan"
236,35,"Ying, Hanjie"
237,36,"Sathoff, Andrew E."
238,36,"Lewenza, Shawn"
239,36,"Samac, Deborah A."
240,37,"Sisterson, Mark S."
241,37,"Dwyer, Donal P."
242,37,"Uchima, Sean Y."
243,38,"Lima, Rui M."
244,38,"Kylarova, Salome"
245,38,"Mergaert, Peter"
246,38,"Kondorosi, Eva"
247,39,"Champness, M. R."
248,39,"McCormick, J., I"
249,39,"Bhanugopan, M. S."
250,39,"McGrath, S. R."
251,40,"Zhao, Ying"
252,40,"Wei, Xiaohong"
253,40,"Long, Yu"
254,40,"Ji, Xiangzhuo"
255,41,"Nie, Z. N."
256,41,"Slocombe, L."
257,41,"Behrendt, R."
258,41,"Raeside, M."
259,41,"Clark, S."
260,41,"Jacobs, J. L."
261,42,"Mushtaq, Muhammad Naeem"
262,42,"Arshad, Muhammad"
263,42,"Majeed, Shahid"
264,42,"Khan, Sajid Aleem"
265,43,"Liu, Mohan"
266,43,"Zhao, Zhuojun"
267,43,"Chen, Lu"
268,43,"Wang, Leqi"
269,43,"Ji, Lingzhen"
270,43,"Xiao, Yan"
271,44,"Han, Eusun"
272,44,"Dresboll, Dorte Bodin"
273,44,"Thorup-Kristensen, Kristian"
274,45,"Cui, Zhanhong"
275,45,"Wu, Shengru"
276,45,"Li, Jilan"
277,45,"Yang, Qi-En"
278,45,"Chai, Shatuo"
279,45,"Wang, Lei"
280,45,"Wang, Xun"
281,45,"Zhang, Xiaowei"
282,45,"Liu, Shujie"
283,45,"Yao, Junhu"
284,46,"Su, Liantai"
285,46,"Lv, Aimin"
286,46,"Wen, Wuwu"
287,46,"Zhou, Peng"
288,46,"An, Yuan"
289,47,"Annicchiarico, P."
